Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
Erik Morán,27,71,Spain,AEK Athens,€2.3M,€1K,Right,39.0,CDM
Tobias Figueiredo,24,71,Portugal,Nottingham Forest,€2.6M,€23K,Right,3.0,RCB
I. Rossi,24,71,Argentina,Club Atlético Huracán,€2.8M,€11K,Left,15.0,LCM
Miltisco Paulino,30,71,Brazil,Santos,€1.8M,€11K,Right,4.0,LCB
P. Brlek,24,71,Croatia,FC Lugano,€3.1M,€10K,Right,20.0,CM
G. Bettini,25,71,Argentina,Rosario Central,€2.4M,€9K,Right,4.0,RB
R. Kent,21,71,England,Rangers FC,€4.1M,€42K,Right,14.0,LW
Jordi Calavera,22,71,Spain,SD Eibar,€2.7M,€11K,Right,2.0,RB
M. Lešković,27,71,Croatia,Dinamo Zagreb,€2.3M,€1K,Right,31.0,CB
G. Friend,30,71,England,Middlesbrough,€1.7M,€29K,Left,3.0,LB
S. Aydoğdu,27,71,Turkey,Medipol Başakşehir FK,€2.4M,€16K,Left,20.0,CM
S. Gashi,29,71,Albania,Colorado Rapids,€2.4M,€7K,Left,11.0,RS
O. Deschacht,37,71,Belgium,Sporting Lokeren,€325K,€6K,Left,3.0,LCB
E. Cecchini,23,71,Argentina,Club Atlético Banfield,€3.2M,€6K,Right,5.0,CDM
T. Knipping,25,71,Germany,SV Sandhausen,€2.5M,€5K,Left,34.0,CB
H. Yamaguchi,27,71,Japan,Cerezo Osaka,€2.2M,€6K,Right,6.0,RCM
V. Aguilera,29,71,Argentina,Club América,€1.8M,€33K,Right,19.0,LCB
J. Cavalli,36,71,France,AC Ajaccio,€800K,€4K,Left,18.0,CAM
L. Pasciuti,28,71,Italy,Carpi,€2.4M,€3K,Right,19.0,LM
M. Makuszewski,28,71,Poland,Lech Poznań,€2.4M,€7K,Right,17.0,RM
L. Albertengo,27,71,Argentina,Estudiantes de La Plata,€2.8M,€14K,Right,7.0,ST
Serginho,31,71,Brazil,Akhisar Belediyespor,€1.6M,€11K,Right,77.0,CDM
F. Schnellhardt,24,71,Germany,MSV Duisburg,€3.3M,€5K,Left,10.0,CM
M. Pavone,36,71,Argentina,Estudiantes de La Plata,€850K,€9K,Right,16.0,ST
T. Goiginger,25,71,Austria,LASK Linz,€3M,€8K,Right,27.0,RW
K. Beckerman,36,71,United States,Real Salt Lake,€325K,€4K,Right,5.0,RCM
Luis García,37,71,Spain,KAS Eupen,€750K,€6K,Right,10.0,RCM
Lyanco,21,71,Brazil,Torino,€3.2M,€16K,Right,97.0,CB
A. Luci,33,71,Italy,Livorno,€1.4M,€3K,Right,8.0,CM
Luca Sangalli,23,71,Spain,Real Sociedad,€3.5M,€14K,Right,23.0,RM
S. Ameobi,26,71,England,Bolton Wanderers,€2.8M,€8K,Left,10.0,CAM
J. Price,25,71,England,Colorado Rapids,€2.5M,€5K,Right,19.0,CDM
Go Yo Han,30,71,Korea Republic,FC Seoul,€2.2M,€6K,Right,13.0,RM
O. Hawsawi,32,71,Saudi Arabia,Al Nassr,€1.4M,€21K,Right,4.0,CB
Jaime Romero,27,71,Spain,Córdoba CF,€2.5M,€7K,Left,14.0,RM
S. Grippo,29,71,Switzerland,Real Zaragoza,€1.8M,€7K,Right,25.0,CB
F. Chalov,20,71,Russia,PFC CSKA Moscow,€4.3M,€1K,Right,9.0,RS
L. Siligardi,30,71,Italy,Parma,€2.2M,€27K,Left,26.0,RW
D. Appiah,26,71,France,RSC Anderlecht,€2.3M,€12K,Right,12.0,RB
S. Silva,37,71,Uruguay,Gimnasia y Esgrima La Plata,€850K,€8K,Right,9.0,RS
J. Paterson,26,71,England,Bristol City,€2.8M,€26K,Right,20.0,LM
T. Barkhuizen,24,71,England,Preston North End,€3M,€9K,Right,29.0,RM
I. Bangoura,33,71,Guinea,Al Raed,€1.5M,€15K,Right,10.0,ST
S. Memišević,24,71,Bosnia Herzegovina,FC Groningen,€2.5M,€5K,Right,5.0,LDM
F. Tabanou,29,71,France,En Avant de Guingamp,€1.8M,€14K,Left,27.0,LB
T. Hoogland,33,71,Germany,VfL Bochum 1848,€950K,€11K,Right,2.0,LCB
G. Pezzella,20,71,Italy,Udinese,€3.7M,€11K,Left,7.0,LB
D. Kolovetsios,26,71,Greece,Panathinaikos FC,€2.5M,€1K,Left,4.0,RCB
Enric Gallego,31,71,Spain,Extremadura UD,€2.1M,€6K,Left,19.0,RS
J. Garner,30,71,England,Wigan Athletic,€2.3M,€35K,Right,41.0,ST
K. Bonifazi,22,71,Italy,SPAL,€3M,€19K,Right,14.0,CB
Souza,30,71,Brazil,Cerezo Osaka,€1.8M,€6K,Right,11.0,LCM
J. Adéoti,29,71,Benin,AJ Auxerre,€1.8M,€5K,Right,8.0,LDM
R. Caroca,28,71,Chile,Universidad de Chile,€1.9M,€8K,Right,17.0,LDM
D. Rosero Valencia,24,71,Colombia,Deportivo Cali,€2.8M,€2K,Right,4.0,RCB
M. Jonjić,27,71,Croatia,Cerezo Osaka,€2.3M,€6K,Right,22.0,RCB
A. Tarek,26,71,Egypt,Orlando City SC,€2.5M,€5K,Left,3.0,CB
O. Fink,36,71,Germany,Fortuna Düsseldorf,€750K,€14K,Right,7.0,CM
F. Macheda,26,71,Italy,Panathinaikos FC,€2.8M,€1K,Right,9.0,ST
M. Duffy,32,71,England,Sheffield United,€1.8M,€10K,Right,21.0,CAM
Y. Chibsah,25,71,Ghana,Frosinone,€2.9M,€11K,Right,66.0,RCM
T. Schütz,30,71,Germany,DSC Arminia Bielefeld,€1.8M,€9K,Right,6.0,LDM
Rodrigo Becão,22,71,Brazil,PFC CSKA Moscow,€3.2M,€1K,Right,50.0,RCB
M. Loum,21,71,Senegal,Moreirense FC,€3M,€6K,Right,31.0,CDM
D. Fletcher,34,71,Scotland,Stoke City,€1.2M,€26K,Right,24.0,CM
Vadillo,23,71,Spain,Granada CF,€3.2M,€6K,Right,7.0,RM
P. Klement,25,71,Germany,SC Paderborn 07,€2.8M,€8K,Left,21.0,CAM
A. Gogia,26,71,Germany,1. FC Union Berlin,€2.8M,€21K,Right,11.0,RW
A. Cole,37,71,England,LA Galaxy,€270K,€4K,Left,3.0,LB
K. Tsimikas,22,71,Greece,Olympiacos CFP,€2.8M,€1K,Left,23.0,LB
Mateus,34,71,Angola,Boavista FC,€1.2M,€6K,Right,9.0,LM
Babanco,32,71,Cape Verde,CD Feirense,€1.8M,€8K,Left,5.0,LDM
X. Mercier,28,71,France,KSV Cercle Brugge,€2.4M,€10K,Right,10.0,LCM
D. Nugent,33,71,England,Derby County,€1.5M,€29K,Right,28.0,ST
N. Fernández,39,71,Argentina,Unión de Santa Fe,€160K,€4K,Right,1.0,GK
O. Hernández,25,71,Germany,Norwich City,€3M,€17K,Right,25.0,LM
E. Mathoho,28,71,South Africa,Kaizer Chiefs,€2.2M,€1K,Right,3.0,CB
B. Sarr,27,71,Senegal,Molde FK,€2.3M,€5K,Left,8.0,LCM
A. Sagal,25,71,Chile,Pachuca,€3.2M,€19K,Left,7.0,ST
J. Grimm,31,71,France,RC Strasbourg Alsace,€1.6M,€11K,Right,6.0,CDM
M. Nyatama,30,71,South Africa,Orlando Pirates,€2.2M,€1K,Right,14.0,RCM
B. Touré,26,71,Mali,AJ Auxerre,€2.5M,€5K,Right,12.0,RDM
Diego González,23,71,Spain,Málaga CF,€3M,€6K,Left,3.0,CB
S. Rosted,23,71,Norway,KAA Gent,€2.7M,€11K,Right,5.0,CB
Y. Suzuki,22,71,Japan,Kashima Antlers,€3.9M,€8K,Right,9.0,RS
I. Sacko,20,71,France,OGC Nice,€3.9M,€16K,Right,18.0,ST
Flavio Paixão,33,71,Portugal,Lechia Gdańsk,€1.5M,€7K,Right,28.0,ST
G. Fernández,34,71,Argentina,Estudiantes de La Plata,€1.2M,€11K,Right,10.0,CAM
J. Hayes,30,71,Republic of Ireland,Celtic,€2.2M,€31K,Left,15.0,LM
T. Ouwejan,22,71,Netherlands,AZ Alkmaar,€2.7M,€8K,Left,5.0,LB
D. Guerrero,30,71,Mexico,Puebla FC,€1.8M,€31K,Right,21.0,CDM
W. Routledge,33,71,England,Swansea City,€1.4M,€18K,Right,15.0,RM
C. Paterson,23,71,Scotland,Cardiff City,€3.2M,€24K,Right,2.0,RB
Hwang Ui Jo,25,71,Korea Republic,Gamba Osaka,€3M,€9K,Right,11.0,ST
G. Kvilitaia,24,71,Georgia,KAA Gent,€3.1M,€13K,Right,13.0,ST
R. Krishna,30,71,Fiji,Wellington Phoenix,€2.3M,€4K,Right,21.0,RS
T. Castagne,22,71,Belgium,Atalanta,€3.3M,€14K,Right,21.0,LM
Léo Jardim,23,71,Brazil,Rio Ave FC,€2.8M,€4K,Right,20.0,GK
Heitor Gesse,34,71,Brazil,Cruzeiro,€675K,€16K,Left,14.0,LB
L. Majer,20,71,Croatia,Dinamo Zagreb,€4.2M,€1K,Left,10.0,CAM
R. Carrera,26,71,Argentina,Unión Española,€2.8M,€4K,Right,20.0,RM
B. Celina,21,71,Kosovo,Swansea City,€3.8M,€13K,Right,10.0,LCM
R. Matarrita,23,71,Costa Rica,New York City FC,€2.8M,€5K,Left,22.0,LB
L. Vitale,30,71,Italy,US Salernitana 1919,€1.7M,€3K,Left,3.0,LM
R. Gestede,29,71,Benin,Middlesbrough,€2.4M,€36K,Right,39.0,ST
Pedro López,34,71,Spain,Levante UD,€675K,€13K,Right,19.0,RB
J. Lucumi,20,71,Colombia,KRC Genk,€4.1M,€7K,Left,33.0,CB
W. Endo,25,71,Japan,Sint-Truidense VV,€2.6M,€7K,Right,33.0,CDM
João Bardinho,34,71,Brazil,Botafogo,€675K,€13K,Left,15.0,LB
F. Barrientos,26,71,Argentina,Club Atlético Lanús,€2.7M,€12K,Right,8.0,CM
P. Glykos,31,71,Greece,PAOK,€1.4M,€1K,Right,71.0,GK
C. Moritz,28,71,Germany,Hamburger SV,€2.4M,€10K,Right,13.0,CM
E. Kachunga,26,71,DR Congo,Huddersfield Town,€2.8M,€28K,Right,9.0,RM
S. Mendoza,26,71,Colombia,Amiens SC,€2.8M,€12K,Left,10.0,LM
Diego Galo,34,71,Brazil,CD Aves,€725K,€8K,Right,44.0,LCB
Lins,30,71,Brazil,FC Tokyo,€2.3M,€8K,Right,13.0,ST
G. Pegolo,37,71,Italy,Sassuolo,€160K,€14K,Left,79.0,GK
U. Bulut,35,71,Turkey,Kayserispor,€1.1M,€8K,Right,9.0,ST
Dani Calvo,24,71,Spain,CD Numancia,€2.6M,€6K,Right,5.0,CB
Alam Araújo,26,71,Brazil,Grêmio,€2M,€16K,Left,14.0,LB
F. Andrijašević,27,71,Croatia,KAA Gent,€2.7M,€13K,Right,23.0,CAM
I. Fiolić,22,71,Croatia,KRC Genk,€3.3M,€9K,Left,20.0,CAM
M. Caire,29,71,Argentina,Club Atlético Tigre,€1.8M,€10K,Right,32.0,RB
C. Adams,21,71,England,Birmingham City,€3.6M,€15K,Right,9.0,RS
P. Škuletić,28,71,Serbia,Montpellier HSC,€2.4M,€18K,Left,32.0,ST
G. Lux,36,71,Argentina,River Plate,€325K,€7K,Right,14.0,GK
P. Kieszek,34,71,Poland,Málaga CF,€950K,€5K,Right,25.0,GK
B. Cortés,23,71,Chile,Colo-Colo,€2.9M,€4K,Right,12.0,GK
S. Nishikawa,32,71,Japan,Urawa Red Diamonds,€1.4M,€6K,Left,1.0,GK
M. Lustig,31,71,Sweden,Celtic,€1.6M,€28K,Right,2.0,RB
A. Bjelica,24,71,Serbia,KV Oostende,€3.1M,€9K,Left,16.0,LM
G. Alcoba,33,71,Uruguay,Santos Laguna,€950K,€13K,Right,3.0,CB
J. Rhodes,28,71,Scotland,Norwich City,€2.4M,€21K,Right,11.0,ST
J. Campos,30,71,Bolivia,,€0,€0,Left,10.0,CAM
Borja Lasso,24,71,Spain,Sevilla FC,€3.2M,€9K,Right,20.0,CAM
O. Cabezas,21,71,Colombia,Rosario Central,€3M,€1K,Left,26.0,LCB
G. Sunu,27,71,France,BB Erzurumspor,€2.5M,€11K,Left,7.0,ST
D. Williams,29,71,United States,Huddersfield Town,€2.3M,€29K,Right,19.0,CM
Nuno Santos,23,71,Portugal,Rio Ave FC,€3.2M,€6K,Left,11.0,LW
N. González,20,71,Argentina,VfB Stuttgart,€4.3M,€17K,Left,22.0,LCM
M. Boland,31,71,Germany,Adelaide United,€2M,€4K,Left,31.0,LCM
M. Bianchetti,25,71,Italy,Hellas Verona,€2.3M,€3K,Right,30.0,CB
G. Celis,25,71,Colombia,Vitória Guimarães,€2.5M,€6K,Right,93.0,CDM
Somália,29,71,Brazil,Al Shabab,€2.3M,€22K,Right,33.0,CM
Y. El Ghanassy,27,71,Belgium,Al Raed,€2.5M,€16K,Right,8.0,LM
E. Finlay,27,71,United States,Minnesota United FC,€2.5M,€6K,Right,13.0,RM
A. Uchida,30,71,Japan,Kashima Antlers,€1.7M,€8K,Right,2.0,RB
N. Brighenti,28,71,Italy,Frosinone,€1.9M,€11K,Right,23.0,CB
I. Tajouri-Shradi,24,71,Libya,New York City FC,€3.2M,€6K,Left,29.0,RW
S. Abdullahi,21,71,Nigeria,1. FC Union Berlin,€3.6M,€4K,Right,20.0,RW
Lionn,29,71,Brazil,GD Chaves,€1.8M,€7K,Right,33.0,RB
J. Larsson,28,71,Sweden,Brøndby IF,€1.9M,€16K,Right,13.0,RB
T. Pachonik,23,71,Germany,Carpi,€2.7M,€2K,Right,25.0,RB
F. Bellugou,31,71,France,AJ Auxerre,€1.6M,€5K,Right,18.0,LCB
Osmar,30,71,Spain,Cerezo Osaka,€1.8M,€5K,Left,43.0,CDM
S. Motta,34,71,Colombia,La Equidad,€1.2M,€2K,Right,10.0,CAM
Pau Torres,21,71,Spain,Málaga CF,€3M,€12K,Left,5.0,LCB
André Pereira,23,71,Portugal,FC Porto,€3.4M,€8K,Left,21.0,ST
Tiago Sá,23,71,Portugal,SC Braga,€2.6M,€6K,Right,12.0,GK
M. Coda,29,71,Italy,Benevento,€2.4M,€5K,Right,9.0,ST
W. Mesloub,32,71,Algeria,Racing Club de Lens,€1.8M,€7K,Right,10.0,CAM
M. Capuano,26,71,Italy,Frosinone,€2.4M,€10K,Left,25.0,LCB
A. Henríquez,35,71,Colombia,Atlético Nacional,€550K,€3K,Left,12.0,CB
G. Dorrans,31,71,Scotland,Rangers FC,€2M,€31K,Right,4.0,CM
Víctor Díaz,30,71,Spain,Granada CF,€1.7M,€6K,Right,16.0,RB
T. Makino,31,71,Japan,Urawa Red Diamonds,€1.6M,€8K,Right,5.0,LCB
J. Mensah,27,71,Ghana,Columbus Crew SC,€2.2M,€5K,Right,4.0,RCB
I. Sylla,24,71,Guinea,Toulouse Football Club,€2.6M,€14K,Left,12.0,LB
Cyriac,27,71,Ivory Coast,Sivasspor,€2.5M,€11K,Right,90.0,ST
Bernardo,24,71,Spain,CD Lugo,€2.8M,€5K,Right,6.0,CB
P. Gollini,23,71,Italy,Atalanta,€2.6M,€10K,Right,95.0,GK
M. Vlap,21,71,Netherlands,SC Heerenveen,€3.4M,€5K,Right,18.0,CAM
Tiago Pombeira,30,71,Brazil,Atlético Mineiro,€2.2M,€21K,Left,10.0,RAM
Y. Soteldo,21,71,Venezuela,Universidad de Chile,€3.8M,€6K,Right,10.0,CAM
Rafa López,33,71,Spain,CF Rayo Majadahonda,€950K,€5K,Right,15.0,RCB
A. Nocerino,33,71,Italy,Benevento,€950K,€4K,Right,23.0,CDM
J. Harper,22,71,Scotland,Málaga CF,€3.5M,€7K,Left,30.0,RS
R. De Laet,29,71,Belgium,Melbourne City FC,€1.8M,€13K,Right,2.0,RB
J. Zimmer,24,71,Germany,Fortuna Düsseldorf,€2.6M,€14K,Right,39.0,RM
C. Săpunaru,34,71,Romania,Kayserispor,€725K,€9K,Right,22.0,RCB
Afonso Figueiredo,25,71,Portugal,Rio Ave FC,€2.4M,€6K,Left,25.0,LB
J. Omlin,24,71,Switzerland,FC Basel 1893,€2.6M,€10K,Right,1.0,GK
R. Yaremchuk,22,71,Ukraine,KAA Gent,€3.2M,€13K,Right,17.0,ST
F. Wiedwald,28,71,Germany,Eintracht Frankfurt,€1.7M,€16K,Right,29.0,GK
A. Galabinov,29,71,Bulgaria,Spezia,€2.4M,€4K,Right,9.0,ST
Maikel Mesa,27,71,Spain,UD Las Palmas,€2.7M,€8K,Right,8.0,CAM
B. Garnica,22,71,Mexico,Club Atlas,€3.2M,€12K,Right,15.0,RM
D. Arslanagic,25,71,Belgium,Royal Antwerp FC,€2.6M,€7K,Right,15.0,RCB
H. Henao,31,71,Colombia,Alianza Petrolera,€1.6M,€2K,Right,21.0,RDM
Y. Kashiwa,30,71,Japan,Sanfrecce Hiroshima,€2.2M,€9K,Right,18.0,LM
J. Gol,32,71,Poland,Cracovia,€1.8M,€5K,Right,5.0,CDM
N. Ghilas,28,71,Algeria,Göztepe SK,€2.4M,€18K,Right,9.0,ST
B. McKay,23,71,Scotland,Swansea City,€3.3M,€17K,Right,19.0,LW
Carraça,25,71,Portugal,Boavista FC,€2.5M,€5K,Right,17.0,RB
Adriano Facchini,35,71,Brazil,Al Batin,€550K,€5K,Right,83.0,GK
A. Callens,26,71,Peru,New York City FC,€2.5M,€5K,Left,6.0,LCB
J. Perbet,33,71,France,Sporting de Charleroi,€1.5M,€11K,Right,10.0,ST
M. Antonsson,27,71,Sweden,Malmö FF,€2.8M,€6K,Right,23.0,LS
Carlitos,35,71,Portugal,FC Sion,€1M,€14K,Right,10.0,LM
C. Lucchetti,40,71,Argentina,Atlético Tucumán,€160K,€4K,Right,1.0,GK
J. Bostock,26,71,England,Toulouse Football Club,€2.5M,€16K,Left,15.0,RDM
V. Milinković-Savić,21,71,Serbia,SPAL,€2.6M,€12K,Right,32.0,GK
G. Peñalba,33,71,Argentina,UD Las Palmas,€1.4M,€8K,Right,22.0,CM
L. Kleinheisler,24,71,Hungary,,€0,€0,Right,15.0,RCM
R. Aliendro,27,71,Argentina,Atlético Tucumán,€2.2M,€8K,Right,29.0,LDM
L. Seijas,32,71,Venezuela,Independiente Santa Fe,€1.8M,€3K,Left,20.0,RAM
L. Fuentes,31,71,Mexico,Club Tijuana,€1.6M,€13K,Left,3.0,LB
R. Hassan,27,71,Nigeria,FC Midtjylland,€2.5M,€16K,Right,36.0,RW
L. Di Plácido,24,71,Argentina,Club Atlético Lanús,€2.6M,€9K,Right,26.0,RM
Heriberto Tavares,21,71,Portugal,Moreirense FC,€3.7M,€6K,Left,73.0,RW
Pulido,27,71,Spain,SD Huesca,€2.2M,€13K,Right,14.0,CB
Ewerton,25,71,Brazil,Portimonense SC,€2.9M,€8K,Right,16.0,RCM
G. Verón,28,71,Argentina,Independiente,€2.4M,€14K,Right,30.0,RM
O. Boscagli,20,71,France,OGC Nice,€3.3M,€12K,Left,28.0,LB
C. Jerome,31,71,England,Göztepe SK,€2.1M,€17K,Right,32.0,ST
E. Muñoz,27,71,Argentina,CD Leganés,€2.3M,€16K,Right,19.0,CB
U. Đerić,26,71,Serbia,Gangwon FC,€2.9M,€5K,Right,55.0,ST
E. Albayrak,27,71,Turkey,Júbilo Iwata,€2.2M,€4K,Left,6.0,LB
F. Calvo,25,71,Costa Rica,Minnesota United FC,€2.4M,€5K,Left,5.0,LB
F. Costa,23,71,Italy,SPAL,€3.2M,€8K,Left,33.0,LM
Xavi Torres,31,71,Spain,Elche CF,€1.6M,€5K,Right,14.0,CDM
A. Cadavid,32,71,Colombia,Millonarios FC,€1.4M,€3K,Left,5.0,RCB
J. Spector,32,71,United States,Orlando City SC,€1.4M,€5K,Right,2.0,CB
Felipe,31,71,Brazil,Hannover 96,€1.6M,€18K,Left,5.0,CB
M. Dijks,25,71,Netherlands,Bologna,€2.4M,€17K,Left,35.0,LM
M. Hassen,23,71,Tunisia,OGC Nice,€2.4M,€12K,Right,1.0,GK
M. Bourabia,26,71,Morocco,Sassuolo,€2.7M,€29K,Right,68.0,RCM
L. Hejda,28,71,Czech Republic,Viktoria Plzeň,€2.2M,€1K,Right,2.0,CB
E. Bergström,25,71,Sweden,FC Utrecht,€2.6M,€11K,Right,13.0,CB
Shikabala,32,71,Egypt,,€0,€0,Left,18.0,LW
Aurélio Buta,21,71,Portugal,Royal Antwerp FC,€3M,€6K,Right,30.0,RB
C. Penilla,27,71,Ecuador,New England Revolution,€2.5M,€6K,Right,70.0,LM
D. Cools,22,71,Belgium,Club Brugge KV,€3.3M,€12K,Right,21.0,RM
D. Muñoz,22,71,Colombia,Rionegro Águilas,€3M,€1K,Right,21.0,RB
G. Sandoval,22,71,Mexico,Guadalajara,€3.6M,€20K,Right,13.0,LM
Y. Bodiger,23,71,France,Toulouse Football Club,€3M,€14K,Left,23.0,CDM
T. Kleindienst,22,71,Germany,SC Freiburg,€3.2M,€15K,Right,34.0,ST
J. Abella,24,71,Mexico,Santos Laguna,€2.6M,€11K,Right,2.0,RB
U. Emanuelson,32,71,Netherlands,FC Utrecht,€1.8M,€12K,Left,28.0,LCM
R. Tesche,31,71,Germany,VfL Bochum 1848,€2M,€12K,Right,23.0,LDM
B. Nivet,41,71,France,ESTAC Troyes,€0,€5K,Right,10.0,CAM
Léo Jabá,19,71,Brazil,PAOK,€4M,€1K,Right,98.0,LM
Paulo Henrique,29,71,Brazil,Akhisar Belediyespor,€2.4M,€13K,Right,12.0,ST
Y. Meriah,24,71,Tunisia,Olympiacos CFP,€2.6M,€1K,Right,20.0,CB
A. Soto,24,71,Argentina,Racing Club,€2.6M,€10K,Left,3.0,LB
J. Quiñones,21,71,Colombia,Tigres U.A.N.L.,€3.9M,€25K,Right,33.0,ST
Domingos Duarte,23,71,Portugal,Deportivo de La Coruña,€3M,€7K,Right,6.0,RCB
E. Başsan,26,71,Turkey,BB Erzurumspor,€2.8M,€10K,Left,17.0,RM
F. Avenatti,25,71,Uruguay,KV Kortrijk,€2.9M,€20K,Left,20.0,RS
V. Fiorillo,28,71,Italy,Pescara,€1.7M,€3K,Right,1.0,GK
O. González,33,71,Chile,Deportivo Toluca,€950K,€14K,Right,4.0,RCB
Zheng Zhi,37,71,China PR,Guangzhou Evergrande Taobao FC,€325K,€8K,Right,10.0,RDM
M. Henriksen,25,71,Norway,Hull City,€2.9M,€17K,Right,19.0,CM
Paulolettinho,34,71,Brazil,Paraná,€1.2M,€14K,Right,7.0,LAM
S. Malezas,33,71,Greece,PAOK,€950K,€1K,Right,13.0,CB
W. Lautoa,30,71,New Caledonia,Dijon FCO,€1.8M,€9K,Left,24.0,LCB
M. Fofana,26,71,Ivory Coast,Atiker Konyaspor,€2.5M,€12K,Right,21.0,LM
J. Cornejo,27,71,Chile,Club León,€2M,€17K,Left,23.0,LB
J. Duque,31,71,Colombia,Club Atlas,€2.1M,€15K,Right,17.0,ST
E. Horvath,23,71,United States,Club Brugge KV,€2.4M,€9K,Right,18.0,GK
J. McClean,29,71,Republic of Ireland,Stoke City,€2.3M,€30K,Left,11.0,LW
A. Guédioura,32,71,Algeria,Nottingham Forest,€1.8M,€30K,Right,5.0,RDM
E. Valentini,29,71,Germany,1. FC Nürnberg,€1.8M,€15K,Right,22.0,RB
J. Šimunović,23,71,Bosnia Herzegovina,Celtic,€2.7M,€24K,Right,5.0,CB
C. Kouamé,20,71,Ivory Coast,Genoa,€5M,€9K,Right,11.0,RS
N. De Pauw,28,71,Belgium,SV Zulte-Waregem,€2.4M,€11K,Right,11.0,CAM
Alex das Freitas,30,71,Brazil,América FC (Minas Gerais),€1.8M,€10K,Right,14.0,LDM
Mossa,29,71,Spain,Real Oviedo,€1.8M,€7K,Left,23.0,LWB
J. Marriott,23,71,England,Derby County,€3.4M,€25K,Right,14.0,ST
J. Riojas,30,71,Paraguay,,€0,€0,Right,20.0,RM
L. Fröde,23,71,Germany,MSV Duisburg,€3M,€5K,Right,16.0,CDM
L. Pokorný,24,71,Czech Republic,SK Slavia Praha,€2.8M,€1K,Left,28.0,CB
D. Vavro,22,71,Slovakia,FC København,€3.3M,€11K,Right,19.0,RCB
M. Bjärsmyr,32,71,Sweden,Sivasspor,€1.4M,€9K,Right,6.0,RCB
Oriol Riera,31,71,Spain,Western Sydney Wanderers,€2.1M,€7K,Right,9.0,ST
M. Maolida,19,71,France,OGC Nice,€5M,€11K,Right,26.0,ST
M. Mostefa,34,71,Algeria,AS Béziers,€725K,€4K,Right,4.0,RDM
R. Carrascal,25,71,Colombia,Deportes Tolima,€2.8M,€3K,Right,14.0,LCM
O. Mangala,20,71,Belgium,Hamburger SV,€4M,€15K,Right,25.0,CDM
M. Barthelmé,29,71,France,La Berrichonne de Châteauroux,€2.3M,€5K,Left,28.0,LCM
A. Novikovas,27,71,Lithuania,Jagiellonia Białystok,€2.5M,€7K,Left,9.0,RM
Ji Dong Won,27,71,Korea Republic,FC Augsburg,€2.5M,€17K,Right,22.0,CF
R. Rúnarsson,23,71,Iceland,Dijon FCO,€2.6M,€6K,Right,13.0,GK
D. Rotariu,22,71,Romania,AZ Alkmaar,€3.3M,€14K,Left,14.0,RW
Paulinho,17,71,Brazil,Bayer 04 Leverkusen,€4.7M,€15K,Right,7.0,RM
Juan Carlos,27,71,Spain,UD Almería,€2.5M,€6K,Right,10.0,CAM
M. Korhut,29,71,Hungary,,€0,€0,Left,19.0,LB
S. Piette,23,71,Canada,Montreal Impact,€2.7M,€5K,Right,6.0,CDM
N. Ortigoza,33,71,Paraguay,Rosario Central,€950K,€10K,Right,10.0,LDM
António Filipe,33,71,Portugal,GD Chaves,€1.2M,€5K,Right,1.0,GK
M. Pereira Lage,21,71,Portugal,Clermont Foot 63,€3.8M,€4K,Right,26.0,CAM
Jean Cléber,28,71,Brazil,Clube Sport Marítimo,€2.4M,€8K,Right,15.0,LDM
O. Danchenko,23,71,Ukraine,Shakhtar Donetsk,€2.7M,€1K,Right,94.0,RB
C. Pantilimon,31,71,Romania,Nottingham Forest,€1.4M,€22K,Right,1.0,GK
Guillermo,25,71,Spain,CD Numancia,€3.2M,€8K,Right,19.0,ST
O. Vizcarrondo,34,71,Venezuela,ESTAC Troyes,€725K,€6K,Right,4.0,CB
E. Aguirre,21,71,Mexico,Pachuca,€4.1M,€14K,Right,14.0,LM
Edu Machado,28,71,Portugal,Boavista FC,€1.9M,€6K,Right,20.0,RB
H. Dean,26,71,England,Birmingham City,€2.4M,€17K,Right,12.0,LCB
D. Andrade,27,71,Colombia,Deportivo Cali,€2M,€2K,Left,27.0,LB
D. Martínez,28,71,Argentina,Unión de Santa Fe,€1.9M,€13K,Right,4.0,RWB
C. Bryson,31,71,Scotland,Derby County,€2M,€26K,Right,4.0,RCM
B. Başaçıkoğlu,23,71,Turkey,Kayserispor,€3.2M,€9K,Right,7.0,LM
K. Mrabti,24,71,Sweden,Djurgårdens IF,€3.3M,€5K,Right,10.0,LCM
M. Fraga,30,71,Mexico,U.N.A.M.,€1.5M,€10K,Right,29.0,GK
I. Oblyakov,19,71,Russia,PFC CSKA Moscow,€3.9M,€1K,Left,98.0,CM
S. Logan,30,71,England,Aberdeen,€1.7M,€6K,Right,2.0,RB
D. Kaiser,29,71,Germany,Brøndby IF,€2.3M,€18K,Right,7.0,CAM
D. Silva,31,71,Colombia,Millonarios FC,€2M,€3K,Right,14.0,LCM
A. Nwakaeme,29,71,Nigeria,Trabzonspor,€2.3M,€21K,Right,99.0,LM
J. Sambenito,26,71,Paraguay,,€0,€0,Right,9.0,ST
Toribio,29,71,Spain,AD Alcorcón,€1.8M,€7K,Left,6.0,RDM
M. Yumlu,30,71,Turkey,Akhisar Belediyespor,€1.8M,€11K,Right,22.0,LCB
A. Milošević,26,71,Sweden,AIK,€2.5M,€6K,Right,6.0,RCB
D. Nounkeu,32,71,Cameroon,Akhisar Belediyespor,€1.4M,€11K,Right,24.0,CB
